Player,Team,Age,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Troy Brown Jr.,LAL,23,68,24.8,7.3,2.7,6.3,42.8,1.4,3.8,37.4,0.5,0.5,89.2,0.9,3.3,4.1,1.3,0.7,0.8,0.2,1.6,-0.3
Romeo Langford,SAS,23,37,20.2,7.2,3.0,6.2,47.8,0.4,1.4,26.9,0.9,1.3,68.1,1.4,1.4,2.8,1.2,0.6,0.5,0.4,1.7,-3.9
Josh Okogie,PHX,24,64,17.8,7.1,2.2,5.6,39.3,0.9,2.7,32.7,1.9,2.5,73.5,1.5,1.8,3.3,1.4,0.9,0.8,0.5,1.6,1.6
Joe Ingles,MIL,35,40,22.9,7.1,2.4,5.5,44.1,1.8,4.5,41.0,0.5,0.5,85.7,0.3,2.7,3.0,3.2,1.2,0.7,0.1,1.7,2.5
Jeremiah Robinson-Earl,OKC,22,38,19.2,7.1,2.7,5.8,45.9,0.9,2.6,33.0,0.9,1.1,82.5,1.8,2.6,4.4,1.0,0.5,0.6,0.3,1.6,-0.6
Larry Nance Jr.,NOP,30,57,21.2,7.1,3.0,4.9,61.4,0.2,0.7,35.0,0.9,1.3,68.5,1.7,3.9,5.6,1.8,0.6,0.9,0.6,2.1,3.4
Dwight Powell,DAL,31,69,19.9,7.1,2.7,3.8,73.0,0.0,0.1,0.0,1.6,2.3,67.9,2.0,2.3,4.3,0.9,0.9,0.7,0.4,2.8,2.3
Anthony Lamb,GSW,25,55,19.9,7.1,2.5,5.3,47.3,1.3,3.5,37.4,0.7,1.0,75.9,0.9,2.6,3.5,1.6,0.9,0.5,0.3,2.3,0.3
Ty Jerome,GSW,25,44,18.5,7.0,2.7,5.5,48.8,0.8,2.0,38.9,0.9,0.9,92.7,0.2,1.6,1.8,3.1,0.7,0.5,0.1,1.5,-2.0
Delon Wright,WAS,30,45,23.8,7.0,2.6,5.5,48.0,0.8,2.3,35.3,1.0,1.1,89.8,1.2,2.1,3.3,3.8,0.9,1.8,0.4,1.2,1.1
Daniel Theis,IND,30,7,15.5,7.0,3.0,6.3,47.7,0.3,1.6,18.2,0.7,1.7,41.7,1.0,2.1,3.1,1.3,0.4,0.3,0.9,1.0,-2.7
Joshua Primo,SAS,20,4,23.3,7.0,2.3,6.5,34.6,0.8,3.0,25.0,1.8,2.3,77.8,0.5,2.8,3.3,4.5,2.8,0.3,0.5,2.0,-0.5
Isaiah Jackson,IND,21,56,15.7,7.0,2.8,4.8,57.6,0.0,0.3,14.3,1.4,2.2,65.3,1.7,2.6,4.2,0.8,0.8,0.5,1.4,2.3,-1.4
Willy Hernangomez,NOP,28,37,12.2,7.0,2.4,4.5,52.4,0.1,0.3,27.3,2.2,2.8,77.9,1.6,3.2,4.8,0.9,1.1,0.5,0.4,1.7,0.4
Ben Simmons,BKN,26,42,26.3,6.9,3.2,5.6,56.6,0.0,0.0,0.0,0.6,1.4,43.9,1.0,5.3,6.3,6.1,2.3,1.3,0.6,3.3,1.0
Mo Bamba,LAL,24,47,16.2,6.8,2.5,5.1,48.7,1.0,2.6,39.0,0.9,1.3,66.1,1.2,3.5,4.7,1.0,0.6,0.3,0.9,2.2,0.2
Evan Fournier,NYK,30,23,18.0,6.8,2.3,6.6,35.1,1.4,4.4,32.4,0.8,0.9,85.7,0.2,1.8,2.0,1.5,0.8,0.6,0.1,1.9,-0.1
Brandon Boston Jr.,LAC,21,21,11.7,6.8,2.4,5.8,42.1,0.6,1.4,41.4,1.4,1.8,76.3,0.3,1.0,1.4,0.9,0.6,0.4,0.0,1.0,-2.0
Luka Garza,MIN,24,26,9.0,6.8,2.3,4.3,55.0,0.5,1.5,36.8,1.6,2.0,78.8,1.2,1.1,2.3,0.7,0.5,0.1,0.1,1.6,0.9
Ochai Agbaji,UTA,22,51,19.0,6.8,2.4,5.4,44.7,1.3,3.4,37.8,0.7,0.9,74.5,0.7,1.2,1.9,0.9,0.5,0.3,0.2,1.6,0.0
Trendon Watford,POR,22,56,19.0,6.8,2.6,4.8,55.4,0.4,1.0,40.7,1.1,1.5,74.4,0.7,3.2,3.9,2.1,1.1,0.6,0.2,2.0,-2.4
Justise Winslow,POR,26,29,26.8,6.8,2.8,6.8,40.9,0.5,1.6,31.1,0.7,1.0,71.4,1.7,3.3,5.0,3.4,1.5,1.0,0.4,3.1,-1.3
Jarrell Brantley,UTA,26,3,9.8,6.7,2.3,4.0,58.3,1.3,2.7,50.0,0.7,0.7,100,0.3,1.3,1.7,1.0,0.7,0.0,0.7,1.0,2.3
Will Barton,TOR,32,51,18.1,6.6,2.4,6.5,36.9,1.1,3.2,35.0,0.7,0.9,78.7,0.3,2.3,2.5,2.1,0.9,0.5,0.2,1.0,-3.5
David Roddy,MEM,21,61,17.2,6.6,2.5,5.8,43.8,0.9,3.0,30.0,0.7,1.0,63.5,0.7,2.0,2.6,0.7,0.8,0.5,0.3,1.5,-0.7
Terence Davis,SAC,25,58,13.1,6.6,2.4,5.5,43.2,1.3,3.6,37.3,0.6,0.7,82.1,0.3,1.9,2.3,1.1,0.8,0.7,0.2,1.7,1.0
JaMychal Green,GSW,32,55,14.2,6.6,2.5,4.5,54.2,0.8,2.0,38.2,0.9,1.2,77.6,1.3,2.4,3.7,0.9,0.9,0.5,0.4,1.9,-3.2
Jock Landale,PHX,27,65,14.1,6.5,2.5,4.8,52.3,0.3,1.3,24.4,1.2,1.6,76.5,1.7,2.3,4.0,1.0,0.9,0.2,0.5,1.9,2.2
Xavier Tillman,MEM,24,54,18.3,6.5,2.8,4.7,59.9,0.1,0.3,26.7,0.8,1.5,55.7,1.9,2.8,4.7,1.5,0.7,0.9,0.4,1.6,-0.2
Isaac Okoro,CLE,22,75,21.9,6.5,2.3,4.7,49.3,0.8,2.3,36.3,1.0,1.3,75.2,0.7,1.8,2.5,1.2,0.5,0.7,0.4,2.1,1.6
Aaron Wiggins,OKC,24,62,18.3,6.5,2.5,5.0,49.7,0.6,1.7,38.1,0.8,1.0,80.6,1.0,2.1,3.1,1.2,0.8,0.5,0.2,1.5,0.1
Kendrick Nunn,WAS,27,62,13.3,6.5,2.5,6.0,42.0,1.0,3.0,33.9,0.5,0.5,84.8,0.2,1.2,1.4,1.1,0.8,0.4,0.0,0.8,0.0
Nickeil Alexander-Walker,MIN,24,51,15.6,6.5,2.3,5.2,44.6,1.0,2.7,38.1,0.7,1.1,66.7,0.3,1.6,1.8,2.0,1.0,0.6,0.4,1.6,-1.4
Goran Dragic,MIL,36,51,15.4,6.4,2.5,5.9,42.5,0.9,2.5,35.2,0.5,0.8,65.9,0.3,1.1,1.4,2.7,1.1,0.2,0.1,1.2,0.6
Isaiah Livers,DET,24,47,22.6,6.4,2.2,5.4,41.0,1.4,3.9,35.0,0.6,0.7,78.8,0.5,2.0,2.6,0.8,0.6,0.6,0.5,1.9,-3.9
Cory Joseph,DET,31,54,18.5,6.4,2.2,5.2,42.7,0.9,2.5,37.6,1.0,1.2,80.6,0.3,1.3,1.6,3.4,0.9,0.5,0.1,1.4,-1.0
Dario Saric,OKC,28,53,14.1,6.3,2.2,4.9,45.8,0.8,2.0,37.7,1.1,1.3,83.8,0.9,2.7,3.6,1.4,1.0,0.3,0.1,1.8,0.6
R.J. Hampton,DET,22,39,15.3,6.3,2.1,4.7,44.0,0.8,2.3,37.5,1.3,1.6,76.6,0.4,1.3,1.6,1.2,0.9,0.6,0.2,1.0,-2.5
Patrick Beverley,CHI,34,59,27.3,6.3,2.1,5.4,39.7,1.2,3.5,34.0,0.8,1.1,73.0,0.7,3.1,3.8,2.9,0.9,0.8,0.6,2.9,-0.3
Eugene Omoruyi,DET,26,34,15.3,6.2,2.4,5.3,45.3,0.4,1.8,23.3,0.9,1.4,65.3,1.1,1.7,2.8,0.6,0.7,0.7,0.1,2.3,-0.4
Duncan Robinson,MIA,28,36,16.1,6.2,2.0,5.6,36.5,1.5,4.5,32.7,0.6,0.7,92.0,0.2,1.5,1.7,1.1,0.6,0.3,0.0,1.8,-1.5
Nassir Little,POR,23,50,17.5,6.1,2.3,5.0,45.4,1.0,2.7,38.0,0.5,0.8,69.2,0.5,2.1,2.6,0.9,0.6,0.3,0.4,1.2,-2.6
Sam Hauser,BOS,25,72,15.6,6.1,2.1,4.7,45.2,1.7,4.0,42.0,0.2,0.2,70.6,0.5,2.0,2.5,0.7,0.3,0.3,0.3,1.3,2.4
Obi Toppin,NYK,25,60,14.3,6.1,2.3,5.5,41.4,1.1,3.3,32.2,0.5,0.6,78.4,0.4,2.3,2.8,0.8,0.5,0.3,0.2,1.0,0.2
Nicolas Batum,LAC,34,71,21.7,6.1,2.1,4.9,42.2,1.6,4.0,39.1,0.4,0.6,68.9,0.8,3.1,3.9,1.5,0.7,0.7,0.6,1.9,1.8
Drew Eubanks,POR,26,71,19.5,6.1,2.5,3.7,68.4,0.0,0.1,42.9,1.0,1.5,66.7,1.6,3.5,5.1,1.2,0.8,0.5,1.1,2.1,-0.7
Patty Mills,BKN,34,38,13.6,6.1,2.1,5.1,42.0,1.2,3.2,38.2,0.6,0.6,91.3,0.2,0.9,1.1,1.4,0.7,0.4,0.1,0.7,-0.9
Jordan Goodwin,WAS,24,54,17.1,6.0,2.3,5.0,46.0,0.6,1.6,34.1,0.9,1.1,75.4,0.9,2.2,3.1,2.4,0.8,0.9,0.4,1.6,-1.5
Jae Crowder,MIL,32,11,18.7,6.0,2.0,4.2,47.8,1.2,3.0,39.4,0.8,1.0,81.8,1.0,3.2,4.2,1.4,0.4,0.5,0.4,1.5,3.0
Jaylin Williams,OKC,20,42,18.1,5.9,2.1,4.9,43.6,0.9,2.3,41.1,0.8,1.1,71.1,0.8,4.0,4.8,1.5,0.7,0.5,0.3,2.3,-1.9
Andre Drummond,CHI,29,60,12.7,5.9,2.5,4.1,60.1,0.0,0.1,0.0,1.0,1.8,53.8,2.1,4.6,6.6,0.5,1.2,0.7,0.4,1.9,0.4
Oshae Brissett,IND,24,58,16.3,5.9,1.9,4.7,40.3,0.8,2.4,32.8,1.3,1.9,69.4,0.9,2.4,3.4,0.6,0.4,0.5,0.2,1.2,-0.3
