Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,BLKR
Jawun Evans,LAC,21,G,45,40,40.4,1.3,2.2,59.4,52.2,7.2,16.2,0.0
Ron Baker,NYK,25,G,26,22,47.5,1.2,2.2,53.4,55.1,-1.6,13.3,0.1
Andrew Bogut,LAL,33,C,23,18,44.7,1.0,2.2,47.1,58.4,-11.4,9.4,0.4
Boban Marjanovic,LAC,29,C,36,30,37.6,1.0,2.2,43.8,57.9,-14.2,9.1,0.2
Cedi Osman,CLE,23,F-G,49,41,43.4,1.2,2.2,56.0,55.0,1.0,11.0,0.0
Timothe Luwawu-Cabarrot,PHI,23,G-F,49,39,41.2,1.1,2.2,48.1,54.8,-6.6,15.5,0.1
Josh Magette,ATL,28,G,16,13,42.7,1.2,2.2,54.3,51.2,3.1,12.0,0.4
Langston Galloway,DET,26,G,53,45,42.3,1.2,2.2,54.8,55.5,-0.7,14.9,0.0
CJ Miles,TOR,31,F-G,70,62,43.6,1.2,2.2,54.6,55.5,-0.9,19.1,0.1
Terrance Ferguson,OKC,20,G,53,42,42.9,1.1,2.1,52.6,55.3,-2.7,12.5,0.1
Meyers Leonard,POR,26,C,26,20,46.3,1.3,2.1,58.9,57.5,1.4,7.7,0
Dwayne Bacon,CHA,22,F,42,34,36.5,1.1,2.1,54.5,56.1,-1.5,13.5,0.0
Isaiah Taylor,ATL,23,G,64,56,35.9,1.0,2.1,49.3,53.6,-4.3,17.4,0.1
Ramon Sessions,WAS,32,G,23,16,43.2,1.2,2.1,58.3,54.3,4.1,14.0,0.1
Derrick Jones Jr.,MIA,21,F-G,18,16,40.2,1.1,2.1,54.1,57.5,-3.5,12.2,0.2
Larry Drew II,NOP,28,G,6,6,48.0,0.8,2.0,41.7,52.3,-10.6,7.0,0
John Holland,CLE,29,G-F,19,16,58.5,1.3,2.0,65.8,54.8,11.0,7.2,0.1
Tony Parker,SAS,36,G,55,48,39.1,1.2,2.0,59.1,56.4,2.7,19.5,0.2
Chinanu Onuaku,HOU,21,C,1,1,33.3,2.0,2.0,100,50.8,49.2,NaN,NaN
Zhou Qi,HOU,22,F-C,15,13,50.8,0.7,2.0,33.3,52.7,-19.4,6.9,0.5
Jarell Eddie,CHI,26,G-F,1,1,66.7,1.0,2.0,50.0,54.8,-4.8,NaN,NaN
Mirza Teletovic,MIL,32,F,9,7,34.0,1.1,2.0,55.6,54.7,0.8,15.9,0.1
Mangok Mathiang,CHA,25,F-C,3,3,60.0,1.3,2.0,66.7,55.8,10.9,NaN,NaN
Adreian Payne,ORL,27,F,4,4,66.7,1.5,2.0,75.0,60.6,14.4,8.6,0
Xavier Silas,BOS,30,G,1,1,50.0,1.0,2.0,50.0,53.8,-3.8,NaN,NaN
Walt Lemon Jr.,NOP,25,PG,4,4,66.7,0.8,2.0,37.5,54.0,-16.5,NaN,NaN
Chandler Parsons,MEM,29,F,35,29,36.9,1.2,2.0,60.9,56.7,4.2,19.2,0.1
Lance Stephenson,IND,27,G,81,70,34.6,1.2,1.9,61.4,55.3,6.1,22.6,0.1
Corey Brewer,OKC,32,F,52,42,38.2,1.2,1.9,62.0,56.5,5.5,16.8,0.1
Rodney McGruder,MIA,26,G-F,16,14,36.1,0.9,1.9,46.7,52.4,-5.7,16.6,0.1
Damian Jones,GSW,23,C,14,13,54.2,0.9,1.9,46.2,55.1,-8.9,5.9,0.1
Alec Burks,UTA,26,G,60,49,42.0,1.1,1.9,57.7,55.5,2.2,16.5,0.0
Abdel Nader,BOS,24,F,39,28,45.0,1.1,1.9,56.9,54.2,2.7,10.9,0.1
Dakari Johnson,OKC,22,C,23,16,51.9,1.1,1.8,59.5,58.1,1.4,5.2,0.1
Derrick White,SAS,23,G,12,10,39.3,1.1,1.8,59.1,56.4,2.6,8.2,0.1
Wade Baldwin IV,POR,22,G,6,3,42.3,1.0,1.8,54.5,57.2,-2.6,11.4,0.1
Brandon Paul,SAS,27,G,45,32,42.5,1.1,1.8,61.0,55.0,6.0,9.0,0.1
Demetrius Jackson,PHI,23,G,11,8,62.5,1.1,1.8,60.0,55.1,4.9,5.3,0.1
London Perrantes,CLE,23,G,5,4,50.0,1.4,1.8,77.8,53.0,24.8,4.7,0
Jason Smith,WAS,32,F-C,33,25,42.8,1.0,1.8,57.6,55.4,2.3,8.6,0.2
T.J. Leaf,IND,21,F,48,37,48.9,1.0,1.8,55.8,54.7,1.2,NaN,NaN
Jalen Jones,DAL,25,F,13,10,37.1,1.2,1.8,69.6,57.8,11.7,12.1,0.2
Tony Allen,NOP,36,G-F,20,15,40.7,1.1,1.8,62.9,56.5,6.3,12.4,0.1
RJ Hunter,HOU,24,G,4,2,43.8,1.0,1.8,57.1,52.0,5.2,9.0,0
Milton Doyle,BKN,24,G,8,7,43.8,1.3,1.8,71.4,53.9,17.5,12.5,0.1
Ryan Arcidiacono,CHI,24,G,23,17,46.5,0.9,1.7,50.0,54.0,-4.0,12.7,0
Arron Afflalo,ORL,32,G,49,39,41.9,0.9,1.7,50.6,54.9,-4.3,12.9,0.1
D.J. Wilson,MIL,22,F,11,7,59.4,1.3,1.7,73.7,55.0,18.7,3.2,0.1
Jamal Crawford,MIN,38,G,75,65,38.3,1.1,1.7,65.6,55.3,10.3,20.7,0.1
Kadeem Allen,BOS,25,G,7,7,54.5,1.0,1.7,58.3,55.4,2.9,5.9,0.1
Rodney Purvis,ORL,24,G,16,13,36.0,0.6,1.7,37.0,52.1,-15.1,18.1,0.1
Derrick Walton Jr.,MIA,23,G,15,11,55.6,0.9,1.7,56.0,54.0,2.0,9.2,0.1
Andrew White III,ATL,25,F,12,12,37.7,1.0,1.7,60.0,56.7,3.3,13.9,0.1
Jonathan Gibson,BOS,30,G,3,3,41.7,0.7,1.7,40.0,44.9,-4.9,10.0,0
Gian Clavell,DAL,24,G,6,4,43.5,0.7,1.7,40.0,56.8,-16.8,9.1,0
Damyean Dotson,NYK,24,G,36,31,38.5,0.9,1.7,53.3,56.5,-3.2,10.8,0.0
Rashad Vaughn,ORL,21,G,20,15,44.6,0.8,1.6,48.5,55.5,-7.0,7.6,0.0
Sean Kilpatrick,CHI,28,G,43,37,41.3,1.1,1.6,69.0,55.0,14.0,12.3,0.1
Guerschon Yabusele,BOS,22,F,28,21,46.4,0.9,1.6,57.8,54.2,3.6,7.1,0.2
Jordan Crawford,NOP,29,G,5,4,42.1,1.4,1.6,87.5,57.7,29.8,10.6,0
Brice Johnson,MEM,24,F,12,9,39.6,0.8,1.6,47.4,55.6,-8.2,5.4,0.2
Antonius Cleveland,ATL,24,G,12,8,45.2,0.8,1.6,52.6,55.3,-2.7,7.2,0.5
Davon Reed,PHX,23,G,21,14,44.0,1.1,1.6,69.7,56.8,12.9,11.5,0.1
Malik Beasley,DEN,21,G,43,31,46.9,0.7,1.6,46.3,55.5,-9.2,9.4,0.1
Joe Young,IND,26,G,45,37,42.9,1.0,1.6,64.3,53.1,11.2,10.5,0.0
Thomas Bryant,LAL,20,C,13,9,57.1,1.1,1.5,75.0,59.8,15.2,4.8,0
Justin Anderson,PHI,24,G-F,33,26,32.7,0.7,1.5,44.0,56.0,-12.0,13.7,0.1
Malcolm Miller,TOR,25,F,13,10,38.0,0.9,1.5,63.2,56.9,6.3,8.4,0.2
Nick Collison,OKC,37,F-C,11,9,51.6,0.9,1.4,62.5,55.9,6.6,5.0,0
Richard Jefferson,DEN,38,F,16,12,36.5,0.7,1.4,47.8,55.4,-7.6,8.2,0.1
Ike Anigbogu,IND,19,C-F,9,9,59.1,1.0,1.4,69.2,49.3,19.9,2.7,0.2
Joakim Noah,NYK,33,C,7,6,43.5,0.6,1.4,40.0,55.0,-15.0,5.7,0
Lorenzo Brown,TOR,27,G,12,9,34.7,0.9,1.4,64.7,53.6,11.1,9.9,0
Shabazz Muhammad,MIL,25,G-F,34,22,45.7,0.9,1.4,64.6,55.4,9.2,9.7,0.0
