Player,Team,Age,Position,GP,Games,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,MP,STL,BLKP,Charges
Isaiah Thomas,NOP,32,G,3,3,100,1.3,5.7,23.5,41.9,-18.4,NaN,NaN,NaN,NaN
Cam Reynolds,HOU,26,F,3,3,100,2.0,5.7,35.3,49.3,-14.0,NaN,NaN,NaN,NaN
Chris Silva,SAC,24,F,9,9,100,2.4,5.7,43.1,47.5,-4.3,6.1,0.1,0.1,0.07
Louis King,SAC,22,F,6,6,100,2.8,5.7,50.0,43.5,6.5,14.2,1.2,0.5,0
Nassir Little,POR,21,F-G,44,44,100,2.7,5.6,47.6,45.3,2.2,13.3,0.1,0.1,0
Edmond Sumner,IND,25,G,48,48,100,2.8,5.6,49.6,46.1,3.6,16.2,0.6,0.1,0
Lou Williams,ATL,34,G,66,66,100,2.6,5.6,45.9,44.2,1.8,21.6,0.7,0.0,0.05
Wenyen Gabriel,NOP,24,F,18,18,100,2.4,5.6,43.6,44.7,-1.2,11.5,0.4,0.1,0
Tacko Fall,BOS,25,C,17,17,100,2.2,5.6,38.9,47.6,-8.6,7.6,0.1,0.6,0
Jabari Parker,BOS,26,F,12,12,100,2.1,5.6,37.3,47.1,-9.8,12.8,0.1,0.2,0.08
Georges Niang,UTA,28,F,70,70,100,2.3,5.6,41.0,45.1,-4.1,16.0,0.3,0.1,0
Mychal Mulder,GSW,27,G,54,54,100,2.6,5.6,46.7,44.2,2.4,12.8,0.2,0.1,0
Alen Smailagic,GSW,20,F,9,9,100,3.0,5.6,54.0,45.9,8.1,5.6,0.2,0.3,0
Denzel Valentine,CHI,27,G,60,60,100,2.6,5.5,47.1,45.0,2.2,16.7,0.5,0.0,0
Tyus Jones,MEM,25,G,70,70,100,2.5,5.5,45.9,44.2,1.6,17.5,0.9,0.1,0.01
John Konchar,MEM,25,G,43,43,100,2.5,5.5,45.6,45.6,-0.1,13.4,0.7,0.1,0.02
Brandon Goodwin,ATL,25,G,42,42,100,2.5,5.5,44.6,44.4,0.2,13.2,0.4,0,0
Reggie Perry,BKN,21,F-C,22,22,100,2.6,5.5,47.1,45.9,1.2,8.1,0.2,0.1,0.04
Kris Dunn,ATL,27,G,4,4,100,2.8,5.5,50.0,45.6,4.4,NaN,NaN,NaN,NaN
Sean McDermott,MEM,24,F,13,13,100,2.3,5.5,42.3,44.4,-2.2,8.8,0.1,0.1,0
Wes Iwundu,NOP,26,F,34,34,100,2.7,5.4,49.2,45.6,3.6,13.0,0.4,0.1,0
Jontay Porter,MEM,21,C-F,5,5,100,2.6,5.4,48.1,47.5,0.7,NaN,NaN,NaN,NaN
Ersan Ilyasova,UTA,34,F,16,16,100,2.3,5.3,43.5,46.0,-2.5,8.7,0.6,0.1,0.12
